,ast_celltype,mic_celltype
MMP9,0.0,0.0
CX3CR1,0.021985380353126163,0.0
FCER1G,0.15857874025843574,0.0
SLC2A5,0.04783968487367103,0.0
FCRLS,0.0509686294195045,0.0
CD14,1.0,0.0
CD11B,0.9996924761557734,0.0
APOE4,0.19853457670533173,0.0
FIZZ1,0.0,1.0
CD68,0.024473282228246733,0.0
TSPO,0.05309423576466034,0.0
P2Y12,0.0,0.0
CD115,0.016434575871374403,0.0
CD80,1.0,0.0
CD16,1.0,0.0
CD45,0.9996924761557734,0.0
MMP12,0.15686596403408082,0.0
TMEM119,0.008414203329168361,0.0
CD40,1.0,0.0
ARG1,0.02280735315816188,0.0
