,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
CD11B,0.2050911250369902,0.057717643819693375,0.538727876965808,-0.4700442643679454,0.732506557913251,-0.29790834080293305,-0.12746751570235007,-0.19698086684060093,0.5260035690099867,-0.2809447494768471,0.5870168798291093,-0.18326233113894808
CD14,0.19715430438905399,0.08253962762963371,0.3243200975449805,-0.40454549045369026,0.7265309907372137,-0.24107500681026406,-0.14193728865403513,-0.10428946933811989,0.7955736832176374,-0.26898418479801883,0.3023904100963893,-0.3088954556358581
CD16,0.047460001394871346,0.09676625317590662,0.5003983162796676,-0.3175589965384584,0.5269253211669422,-0.30742423551199644,-0.16759688194027367,-0.14275366782288393,0.7427483395722811,-0.19984652859900007,0.5679609062702758,-0.26395264957092973
CD40,0.21903601608832798,0.1380504607904445,0.5697775744715218,-0.5096898247233104,0.6383058678971923,-0.2718780570448859,-0.01767424831013307,-0.172408996062715,0.5332725084390624,-0.342891712917524,0.5976691256817249,-0.20962097512496847
CD45,0.0722121896287107,0.03096367631095261,0.5177866236261214,-0.3524581864657634,0.5015216578887185,-0.3316029707866478,0.040698306604977454,-0.006665557042454116,0.8306416746568447,-0.2435986330402671,0.22313164569268693,-0.3029106479306643
CD80,0.15084835996486123,0.3340594625390276,0.42277061274212896,-0.4794309355831681,0.5669042540461238,-0.2257292490907614,-0.019992245680731737,-0.12767814668687252,0.6675453587421241,-0.3724936359407016,0.5483787392921426,-0.34986675527548755
CD68,-0.06857695412128008,0.1385955440410334,0.49001071403328933,0.030971542061663252,-0.048684657916034976,-0.44579338802572066,-0.009363382091805138,0.33268845413344544,-0.019408698227407862,0.35634276036805934,-0.16216323723924114,-0.40571444646228166
CD115,0.036472225287969784,0.047238313571490276,0.008036435792397377,0.15146983519625595,-0.11884050789993181,-0.0423255038506326,0.6828182757695881,0.048008409640497476,-0.14041993353998275,-0.16634813335918766,0.1278766162374099,-0.31171937858890736
CX3CR1,-0.06225529806955333,0.6638277911155038,0.22504243078949446,-0.07671928092488234,-0.4059196068406831,-0.19469021516282645,0.06597607943336853,-0.09530124397067229,0.12583367465550993,-0.3975505978929272,0.1543751667232427,0.3181078373555669
TMEM119,0.20865575770617292,0.43051677247880943,-0.17073779346448223,-0.07437287681596502,-0.030955102724078774,0.3654230193776758,0.04094963103006635,-0.5047688861260052,-0.06684961203290316,0.2751423217380576,0.10778432488988664,-0.30782232617588573
FCER1G,-0.13421899737858847,-0.21598600259739661,0.49905080574211996,-0.11791757366336698,-0.13226157576281453,0.2542090562503692,-0.001640666499965521,-0.42865901762340686,0.2564349854397772,0.19862848691117876,0.09157362850110799,0.3055652856877555
FCRLS,0.4119138726960219,-0.28431375567924455,-0.004524545824972872,-0.20990488807928126,0.0030720073277720815,-0.1015313884914367,-0.07493928295379715,0.5727757180017106,0.20713875294186276,-0.5011373716546352,0.12517029767497834,0.19308867448474915
SLC2A5,-0.19294832272558865,-0.13864156882325296,-0.04316983823076837,0.5193587703513527,0.14076654354066975,0.1064144525306526,-0.5595240821376072,-0.5396844747448895,0.31805740521561776,0.07081837916013729,-0.043405895639037115,0.2137656923189093
P2Y12,0.10387553952083467,-0.03903826669531937,0.04605013915632535,-0.2348932865158386,-0.10168537401224836,0.08727475829271575,0.16177025471857906,-0.05290275731799825,-0.022899607477878028,0.0955098585099741,-0.021935568279409814,0.2586172213656326
TSPO,0.6351416827240303,0.10539235414570677,0.2990685048550815,0.26093730973526935,0.034654477160609834,-0.4794901114612849,-0.2981067902948891,-0.221859320709621,0.14650474033814026,-0.13497096299326225,0.07853393957194459,-0.25846946663441595
ARG1,-0.20450018078255458,-0.04621841868085239,-0.140539485786125,-0.30099655187379826,0.18182179398568868,0.4009261711527515,-0.04945893879934706,0.25301364395375187,-0.1790924964596598,0.17962239631353455,-0.25173432022732517,0.11355337785526562
FIZZ1,-0.04154633349442837,-0.11057761235341235,0.20088910656367975,0.10064355885861372,0.014061793213798622,0.5288458317650031,-0.2144926596981328,0.21506778044584798,-0.17317331164627744,-0.23091428935019398,-0.2669724321124061,-0.1378226163605733
MMP9,-0.4045696298137645,0.04904055959639975,-0.1188604500325473,0.0033842696586592292,-0.014129011973335937,-0.32389735825732635,0.3004201460521023,-0.04764646950648263,0.09991338036040441,0.32288905005967694,0.1959127653222212,0.11859503034861538
MMP12,-0.4501181257278083,-0.21770088963018516,-0.14347740767105455,0.14906200263867075,0.03111230483683645,0.07417214762418703,-0.23410180263682007,0.22255234999643153,0.2454136602747929,0.339312636566621,0.5304991460570467,-0.26807670860496713
APOE4,0.03217842838996794,-0.16885438691111815,0.12504195850912408,-0.09687705416433472,0.594368808625365,-0.13695200785603304,-0.21835392217819097,-0.39055073249300487,0.03538449813548166,0.4279292347712407,-0.05287247236843991,0.07923882006751407
