,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12,NMF_13,NMF_14,NMF_15,NMF_16,NMF_17,NMF_18
HES4,0.0064781554349859286,0.0,0.0,0.009392618575421936,0.048102556071206476,0.03699017972553715,0.019764008442989915,0.0,0.0,0.0,0.0037643206463163856,0.008607922374118239,0.0047295419361270885,0.010638705918144213,0.14199503642418343,0.0,0.008146289260446391,1.1000094753072845e-05,0.0
PRDM16,0.0,0.0012820577255271736,0.0,0.0,0.04185149493031452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11135982153933277,0.0,0.007549644312966492,0.001640113913081337,0.0,0.0,0.0
SLC2A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20094086071182632,0.0,0.0,0.0,0.00022487077254214848,0.0029595226004726217,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16132955145525826,0.0,0.0,0.0,0.0,0.0020346332090224466,0.11680331898216845,0.0,0.0,0.0,0.0
SRARP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344974921608463,0.0,0.0,0.0,0.0
PADI2,0.0,0.008561568891283088,0.14851097155744408,0.0,0.0,0.0019554756932915157,0.0,0.006040633317545151,0.1784577780219817,0.2505760365114524,0.0007726881799496499,0.0,0.026685889830469402,0.0,0.0,0.28567689328682266,0.0,0.0,0.0
PLA2G2A,0.0,0.0,0.0,0.0,0.004537401369839232,0.0,0.00018367210196667034,0.0,6.282491088645502e-05,0.0,0.0,0.0,0.0,0.00038605406308576994,0.0017237468275493558,0.0022910814405573956,0.0,0.0,0.0
LINC01141,0.0032412160603280445,0.0,0.0,0.0,0.0005983563622979516,0.038621743113742855,0.0,0.0,0.13160582104354954,0.0,0.017897411847610758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08416375670470452,0.0,0.0,0.0,0.0,0.004295257986837573,0.0034571079207954976,0.004159135647891598,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10200570155589615,0.0,0.0,0.0,0.0,0.005002412791982342,0.0022024734997082634,0.0022419355833930544,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15162086635659555,0.0,0.0,0.0,0.0,0.005999074380224734,0.0006746627668367121,0.003487134682645867,0.0,0.0,0.0
ID3,0.0,0.0,0.0,0.0,0.04159888788307144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00941404543052311,0.003673474160912444,0.2731915730273865,0.00768105029639252,0.0,0.0,0.0
RUNX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007632629158103887,0.0,0.0,0.0,0.0,0.0004406096639223301,0.009688380142923655,0.0,0.0,0.0,0.0
LAPTM5,0.0007601552284559205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1475179567942658,0.0,0.0,0.0,0.0,0.0059633553802941625,0.00016583142215749038,0.0,0.0,0.0,0.0
MARCKSL1,0.0,0.05067826714417145,0.025558495570617137,0.025116686092304146,0.01618202807806917,0.0,0.06798248582627037,0.0,0.0,0.3392934167353295,0.010708593733671003,0.005810411189345852,0.003984047691864825,0.0,0.017054452868520913,0.6241438125537295,0.0,0.0,0.0
GJA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002715562215946177,0.03754918626527413,0.0,0.0,0.0,0.0
CSF3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605218101106514,0.0,0.0,0.0,0.0,0.003018991893587577,0.0,0.0,0.0,0.0,0.0
HEYL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010498283617860738,0.0018648571470628965,0.04521078466592903,0.0,0.0,0.0,0.000838288086970247
MFSD2A,0.0,0.0,0.0,0.0,0.0,0.006179984776992183,0.0,0.004569351602186033,0.0,0.0,0.0003632849564150623,0.0,0.0,0.0,0.19596049468699553,0.0,0.004677635963002387,0.0014209246988148272,0.0
SLC2A1,0.0,0.0025543886193616435,0.004222745381089174,0.0006083096328131595,0.0,0.0021187387606649536,0.00025489084348762916,0.018978565735986944,0.0,0.006075745416037584,0.0014583333785604538,0.0,0.002429276274443492,0.001738717511794343,0.37695928238036525,0.018069326463408805,0.009311164841656387,0.0010271354655120642,0.0044946089831999405
PIK3R3,0.13255982530733365,0.00515747389396906,0.0,0.08286068208512364,0.0,0.014784433335394937,0.21421916621832182,0.0,0.0,0.0,0.041616346867391775,0.025278984847679813,0.0005636638867915709,0.0,0.1874178147377936,0.0,0.03534604415136839,0.017858638921692427,0.0
TAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732671165336441,0.0,0.0,0.0,0.0,0.0,0.02107986883643835,0.0,0.0,0.0,0.0
TRABD2B,0.0,0.00035824447648976195,0.0018452555768088985,0.0,0.012470297575999014,0.0,0.0,0.0,0.00022009687298810837,0.004868589022130794,8.364336372731128e-05,0.0004134250463419524,0.0001308948542641533,0.0,0.0340509885769313,0.007093290383144267,0.0,0.0002583270120362561,0.0023762266797130224
AC119674.1,0.0,0.04041783885181111,0.04029323364258923,0.0011068848756460908,0.0,0.0,0.0,0.0,0.0,0.010705235208573754,0.0,0.0005278153431330123,0.015077577319093377,0.0,0.0,0.0,0.0,8.907714296436666e-05,0.12673495432388437
PLPP3,0.0,0.09696047443641669,0.06937577305791548,0.013909702565953181,0.0,0.0,0.012226269740589185,0.008590543620009489,0.0,0.336151787142224,0.0012402361574373397,0.0,0.13340776421230627,0.0,0.0,0.11423378677147444,0.0,0.0012938934291834064,0.03229296741783651
LINC01748,0.0,0.04332914997759764,0.0014246104695784488,0.0,0.0,0.14457137458200117,0.0050467665151015875,0.0,0.0,0.0,0.0072536872933395774,0.0,0.12315851750480153,0.0,0.0,0.0,0.011454231893339759,0.06166403199329605,0.0
AC099792.1,0.0,0.04506698800582519,0.0,0.0,0.006998053642457308,0.0,0.05465116567325271,0.0,0.0,0.0,0.0,0.0,0.09698464688574701,0.0,0.0,0.0,0.0,0.0004945049073209376,0.0
ROR1,0.28160631027050914,0.0,0.0,0.0,0.0,0.0,0.0015158780505407851,0.0,0.0,1.2058988382333953,0.0,0.05792314399508455,0.054962727074984306,0.0,0.0953516505468856,0.11273751680219454,0.0,0.02417569013073621,0.0
CACHD1,0.0,0.05588711052309735,0.0,0.0,0.11963417115080771,0.24988547201324093,0.01783055447833189,0.0,0.0,0.0,0.033466768977537587,0.0,0.15269068989208234,0.0,0.155035283483575,0.0,0.06954705942485859,0.04359644584593259,0.0
ST6GALNAC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2424362468715056,0.03748627321872702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI44L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10137131097003024,0.0,0.0,0.0,0.0021013494119141714,0.0,0.20493103249475897,0.0,0.0,0.0,0.0
ADGRL4,0.0,0.0,0.0,0.0,0.0,0.0,0.05968667912532827,0.0,0.0,0.0,0.048213869935731915,0.0,0.0,0.0,0.407900771505971,0.0,0.0,0.0,0.0
CYR61,0.0,0.0,0.0,0.0,0.027799320011586335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001132591308003571,0.0018153098222799475,0.03643897012126544,0.002453411763225164,0.0,0.00011731328911301786,0.0
PKN2.AS1,0.0,0.0,0.0,0.0,1.159652111533531,0.06355286413981652,0.0,0.0,0.0,0.0,0.0,0.0,0.00024181281426586548,0.0028344638251793473,0.0,0.06016593722058941,0.0,0.0,0.0
TGFBR3,0.09402962094139365,0.005133607232598869,0.0,0.0,0.08440346309254657,0.03836295483333616,0.1287293140209491,0.0,0.0,0.0,0.0,0.07504458070081058,0.07057791834325387,0.0,0.23558055746540843,0.003391339350034316,0.04937049004845482,0.0,0.0
ARHGAP29,0.12190669296958047,0.0,0.0,0.0,0.0,0.09150772029655335,0.041093836578950285,0.0,0.0,0.0,0.09978163190099662,0.0,0.024973919365968857,0.0,0.7189239004669777,0.0,0.0,0.00682655210224627,0.0
F3,0.0,0.0055993460140389495,0.0,0.0,0.05120775027521343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07929698437200144,0.0,0.06137512832510913,0.006074171471070376,0.0,0.0,0.0
PALMD,0.0,0.0,0.0,0.0,0.0158035329523228,0.029111907034886808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3067244800623207,0.0,0.07032509282465804,0.0,0.0
CDC14A,0.0,0.06319632548981212,0.0,0.0,0.03463584230636412,0.0,0.0,0.0,0.09902451202229481,0.011942048616672956,0.0,0.0,0.10662386259746494,0.0,0.199796994191077,0.004216342608333749,0.0,0.00793704504318222,0.0
