,CasevsHC_mic
CD80,0.0986874967225458
TMEM119,0.06654506663376226
CD40,0.06654506663376226
ARG1,0.04589619688024745
CX3CR1,0.03776823265198107
CD14,0.03090552094221027
CD68,0.014111125262342207
CD45,0.014111125262342207
SLC2A5,0.014111125262342207
FIZZ1,0.013255196530064794
CD16,0.010656626328466128
CD115,3.246015372919401e-05
MMP12,3.246015372919401e-05
P2Y12,3.246015372919401e-05
FCER1G,1.8668162783960914e-05
MMP9,1.8668162783960914e-05
TSPO,1.8668162783960914e-05
CD11B,1.8668162783960914e-05
APOE4,1.8668162783960914e-05
FCRLS,1.8668162783960914e-05
