,CasevsHC_mic,CasevsHC_ast
MMP12,1.0,1.0
CD16,0.7464953216890841,1.0
CD115,0.3465354056174264,0.9685928219270078
TMEM119,0.33169780697170365,0.9076354407045086
MMP9,0.31722150600952576,0.7393543766213563
FCER1G,0.18086015875437136,0.7133942988285141
FCRLS,0.18086015875437136,0.7133942988285141
CD40,0.18086015875437136,0.6390069896432404
APOE4,0.18086015875437136,0.4092329578290173
TSPO,0.18086015875437136,0.35765516360467264
SLC2A5,0.18086015875437136,0.35765516360467264
P2Y12,0.16035026282122425,0.35765516360467264
CX3CR1,0.1144147109131705,0.35765516360467264
CD45,0.062025312690616195,0.35765516360467264
CD11B,0.04346448720165495,0.32575233457267155
CD14,0.03228480202273339,0.1728093804093985
CD68,0.004004198069171448,0.11838594309679662
FIZZ1,0.004004198069171448,0.11056710703643526
ARG1,0.0,0.076329956385256
CD80,0.0,0.0
